"region","contents","quarter","09332: Transfers of holiday properties with building, free market sale, by region, contents and quarter"
"01 Østfold","Purchase price per transfer (NOK 1 000)","2012K3",1965
"01 Østfold","Purchase price per transfer (NOK 1 000)","2012K4",1622
"01 Østfold","Purchase price per transfer (NOK 1 000)","2013K1",1631
"01 Østfold","Purchase price per transfer (NOK 1 000)","2013K2",1624
"01 Østfold","Purchase price per transfer (NOK 1 000)","2013K3",1723
"01 Østfold","Purchase price per transfer (NOK 1 000)","2013K4",1402
"01 Østfold","Purchase price per transfer (NOK 1 000)","2014K1",1535
"01 Østfold","Purchase price per transfer (NOK 1 000)","2014K2",1944
"01 Østfold","Purchase price per transfer (NOK 1 000)","2014K3",1942
"01 Østfold","Purchase price per transfer (NOK 1 000)","2014K4",1867
"01 Østfold","Purchase price per transfer (NOK 1 000)","2015K1",1185
"01 Østfold","Purchase price per transfer (NOK 1 000)","2015K2",2250
"01 Østfold","Purchase price per transfer (NOK 1 000)","2015K3",2067
"01 Østfold","Purchase price per transfer (NOK 1 000)","2015K4",1972
"01 Østfold","Purchase price per transfer (NOK 1 000)","2016K1",1961
"01 Østfold","Purchase price per transfer (NOK 1 000)","2016K2",2265
"01 Østfold","Purchase price per transfer (NOK 1 000)","2016K3",2197
"01 Østfold","Purchase price per transfer (NOK 1 000)","2016K4",2682
"01 Østfold","Purchase price per transfer (NOK 1 000)","2017K1",1935
"01 Østfold","Purchase price per transfer (NOK 1 000)","2017K2",2341
"01 Østfold","Purchase price per transfer (NOK 1 000)","2017K3",2297
"01 Østfold","Purchase price per transfer (NOK 1 000)","2017K4",2101
"01 Østfold","Purchase price per transfer (NOK 1 000)","2018K1",1854
"01 Østfold","Purchase price per transfer (NOK 1 000)","2018K2",2484
"01 Østfold","Purchase price per transfer (NOK 1 000)","2018K3",2703
"01 Østfold","Purchase price per transfer (NOK 1 000)","2018K4",2080
"01 Østfold","Purchase price per transfer (NOK 1 000)","2019K1",1867
"01 Østfold","Purchase price per transfer (NOK 1 000)","2019K2",2308
"01 Østfold","Purchase price per transfer (NOK 1 000)","2019K3",2438
"01 Østfold","Transfers of title","2000K1",43
"01 Østfold","Transfers of title","2000K2",68
"01 Østfold","Transfers of title","2000K3",76
"01 Østfold","Transfers of title","2000K4",72
"01 Østfold","Transfers of title","2001K1",29
"01 Østfold","Transfers of title","2001K2",83
"01 Østfold","Transfers of title","2001K3",94
"01 Østfold","Transfers of title","2001K4",47
"01 Østfold","Transfers of title","2002K1",29
"01 Østfold","Transfers of title","2002K2",71
"01 Østfold","Transfers of title","2002K3",98
"01 Østfold","Transfers of title","2002K4",66
"01 Østfold","Transfers of title","2003K1",40
"01 Østfold","Transfers of title","2003K2",74
"01 Østfold","Transfers of title","2003K3",86
"01 Østfold","Transfers of title","2003K4",56
"01 Østfold","Transfers of title","2004K1",38
"01 Østfold","Transfers of title","2004K2",83
"01 Østfold","Transfers of title","2004K3",103
"01 Østfold","Transfers of title","2004K4",77
"01 Østfold","Transfers of title","2005K1",27
"01 Østfold","Transfers of title","2005K2",82
"01 Østfold","Transfers of title","2005K3",113
"01 Østfold","Transfers of title","2005K4",115
"01 Østfold","Transfers of title","2006K1",68
"01 Østfold","Transfers of title","2006K2",72
"01 Østfold","Transfers of title","2006K3",115
"01 Østfold","Transfers of title","2006K4",107
"01 Østfold","Transfers of title","2007K1",83
"01 Østfold","Transfers of title","2007K2",95
"01 Østfold","Transfers of title","2007K3",130
"01 Østfold","Transfers of title","2007K4",95
"01 Østfold","Transfers of title","2008K1",47
"01 Østfold","Transfers of title","2008K2",82
"01 Østfold","Transfers of title","2008K3",146
"01 Østfold","Transfers of title","2008K4",55
"01 Østfold","Transfers of title","2009K1",53
"01 Østfold","Transfers of title","2009K2",66
"01 Østfold","Transfers of title","2009K3",91
"01 Østfold","Transfers of title","2009K4",77
"01 Østfold","Transfers of title","2010K1",32
"01 Østfold","Transfers of title","2010K2",78
"01 Østfold","Transfers of title","2010K3",98
"01 Østfold","Transfers of title","2010K4",92
"01 Østfold","Transfers of title","2011K1",28
"01 Østfold","Transfers of title","2011K2",72
"01 Østfold","Transfers of title","2011K3",118
"01 Østfold","Transfers of title","2011K4",68
"01 Østfold","Transfers of title","2012K1",43
"01 Østfold","Transfers of title","2012K2",86
"01 Østfold","Transfers of title","2012K3",106
"01 Østfold","Transfers of title","2012K4",85
"01 Østfold","Transfers of title","2013K1",41
"01 Østfold","Transfers of title","2013K2",83
"01 Østfold","Transfers of title","2013K3",109
"01 Østfold","Transfers of title","2013K4",67
"01 Østfold","Transfers of title","2014K1",27
"01 Østfold","Transfers of title","2014K2",86
"01 Østfold","Transfers of title","2014K3",116
"01 Østfold","Transfers of title","2014K4",81
"01 Østfold","Transfers of title","2015K1",53
"01 Østfold","Transfers of title","2015K2",101
"01 Østfold","Transfers of title","2015K3",124
"01 Østfold","Transfers of title","2015K4",72
"01 Østfold","Transfers of title","2016K1",43
"01 Østfold","Transfers of title","2016K2",103
"01 Østfold","Transfers of title","2016K3",119
"01 Østfold","Transfers of title","2016K4",79
"01 Østfold","Transfers of title","2017K1",50
"01 Østfold","Transfers of title","2017K2",110
"01 Østfold","Transfers of title","2017K3",128
"01 Østfold","Transfers of title","2017K4",79
"01 Østfold","Transfers of title","2018K1",36
"01 Østfold","Transfers of title","2018K2",83
"01 Østfold","Transfers of title","2018K3",101
"01 Østfold","Transfers of title","2018K4",75
"01 Østfold","Transfers of title","2019K1",50
"01 Østfold","Transfers of title","2019K2",119
"01 Østfold","Transfers of title","2019K3",131
"01 Østfold","Total purchase price, transfer of title (NOK million)","2000K1",22
"01 Østfold","Total purchase price, transfer of title (NOK million)","2000K2",58
"01 Østfold","Total purchase price, transfer of title (NOK million)","2000K3",65
"01 Østfold","Total purchase price, transfer of title (NOK million)","2000K4",59
"01 Østfold","Total purchase price, transfer of title (NOK million)","2001K1",16
"01 Østfold","Total purchase price, transfer of title (NOK million)","2001K2",56
"01 Østfold","Total purchase price, transfer of title (NOK million)","2001K3",76
"01 Østfold","Total purchase price, transfer of title (NOK million)","2001K4",38
"01 Østfold","Total purchase price, transfer of title (NOK million)","2002K1",25
"01 Østfold","Total purchase price, transfer of title (NOK million)","2002K2",57
"01 Østfold","Total purchase price, transfer of title (NOK million)","2002K3",103
"01 Østfold","Total purchase price, transfer of title (NOK million)","2002K4",66
"01 Østfold","Total purchase price, transfer of title (NOK million)","2003K1",46
"01 Østfold","Total purchase price, transfer of title (NOK million)","2003K2",84
"01 Østfold","Total purchase price, transfer of title (NOK million)","2003K3",85
"01 Østfold","Total purchase price, transfer of title (NOK million)","2003K4",54
"01 Østfold","Total purchase price, transfer of title (NOK million)","2004K1",30
"01 Østfold","Total purchase price, transfer of title (NOK million)","2004K2",98
"01 Østfold","Total purchase price, transfer of title (NOK million)","2004K3",99
"01 Østfold","Total purchase price, transfer of title (NOK million)","2004K4",85
"01 Østfold","Total purchase price, transfer of title (NOK million)","2005K1",20
"01 Østfold","Total purchase price, transfer of title (NOK million)","2005K2",112
"01 Østfold","Total purchase price, transfer of title (NOK million)","2005K3",135
"01 Østfold","Total purchase price, transfer of title (NOK million)","2005K4",114
"01 Østfold","Total purchase price, transfer of title (NOK million)","2006K1",49
"01 Østfold","Total purchase price, transfer of title (NOK million)","2006K2",126
"01 Østfold","Total purchase price, transfer of title (NOK million)","2006K3",146
"01 Østfold","Total purchase price, transfer of title (NOK million)","2006K4",97
"01 Østfold","Total purchase price, transfer of title (NOK million)","2007K1",83
"01 Østfold","Total purchase price, transfer of title (NOK million)","2007K2",110
"01 Østfold","Total purchase price, transfer of title (NOK million)","2007K3",169
"01 Østfold","Total purchase price, transfer of title (NOK million)","2007K4",105
"01 Østfold","Total purchase price, transfer of title (NOK million)","2008K1",58
"01 Østfold","Total purchase price, transfer of title (NOK million)","2008K2",112
"01 Østfold","Total purchase price, transfer of title (NOK million)","2008K3",297
"01 Østfold","Total purchase price, transfer of title (NOK million)","2008K4",79
"01 Østfold","Total purchase price, transfer of title (NOK million)","2009K1",55
"01 Østfold","Total purchase price, transfer of title (NOK million)","2009K2",112
"01 Østfold","Total purchase price, transfer of title (NOK million)","2009K3",152
"01 Østfold","Total purchase price, transfer of title (NOK million)","2009K4",90
"01 Østfold","Total purchase price, transfer of title (NOK million)","2010K1",44
"01 Østfold","Total purchase price, transfer of title (NOK million)","2010K2",126
"01 Østfold","Total purchase price, transfer of title (NOK million)","2010K3",175
"01 Østfold","Total purchase price, transfer of title (NOK million)","2010K4",129
"01 Østfold","Total purchase price, transfer of title (NOK million)","2011K1",32
"01 Østfold","Total purchase price, transfer of title (NOK million)","2011K2",128
"01 Østfold","Total purchase price, transfer of title (NOK million)","2011K3",186
"01 Østfold","Total purchase price, transfer of title (NOK million)","2011K4",89
"01 Østfold","Total purchase price, transfer of title (NOK million)","2012K1",54
"01 Østfold","Total purchase price, transfer of title (NOK million)","2012K2",155
"01 Østfold","Total purchase price, transfer of title (NOK million)","2012K3",237
"01 Østfold","Total purchase price, transfer of title (NOK million)","2012K4",155
"01 Østfold","Total purchase price, transfer of title (NOK million)","2013K1",72
"01 Østfold","Total purchase price, transfer of title (NOK million)","2013K2",137
"01 Østfold","Total purchase price, transfer of title (NOK million)","2013K3",207
"01 Østfold","Total purchase price, transfer of title (NOK million)","2013K4",99
"01 Østfold","Total purchase price, transfer of title (NOK million)","2014K1",47
"01 Østfold","Total purchase price, transfer of title (NOK million)","2014K2",179
"01 Østfold","Total purchase price, transfer of title (NOK million)","2014K3",245
"01 Østfold","Total purchase price, transfer of title (NOK million)","2014K4",170
"01 Østfold","Total purchase price, transfer of title (NOK million)","2015K1",59
"01 Østfold","Total purchase price, transfer of title (NOK million)","2015K2",233
"01 Østfold","Total purchase price, transfer of title (NOK million)","2015K3",263
"01 Østfold","Total purchase price, transfer of title (NOK million)","2015K4",133
"01 Østfold","Total purchase price, transfer of title (NOK million)","2016K1",100
"01 Østfold","Total purchase price, transfer of title (NOK million)","2016K2",241
"01 Østfold","Total purchase price, transfer of title (NOK million)","2016K3",282
"01 Østfold","Total purchase price, transfer of title (NOK million)","2016K4",251
"01 Østfold","Total purchase price, transfer of title (NOK million)","2017K1",89
"01 Østfold","Total purchase price, transfer of title (NOK million)","2017K2",288
"01 Østfold","Total purchase price, transfer of title (NOK million)","2017K3",296
